epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,24,,,401662.59375,0.2591150403022766,574750.25,0.2170465588569641,224900.453125
0,24,312992.46875,,,,,,
1,49,,125381.9765625,,,,,
1,49,,,305245.03125,0.21782627701759338,468210.9375,0.17694135010242462,185308.5625
1,49,162326.21875,,,,,,
2,74,,,298252.4375,0.22170667350292206,464575.9375,0.17869389057159424,182189.171875
2,74,131100.765625,,,,,,
3,99,,135192.984375,,,,,
3,99,,,288461.0625,0.21547207236289978,471630.90625,0.16765588521957397,178003.015625
3,99,124594.4296875,,,,,,
4,124,,,284890.4375,0.21932391822338104,474532.21875,0.16638632118701935,178541.25
4,124,117057.1171875,,,,,,
5,149,,120513.7734375,,,,,
5,149,,,272364.15625,0.2117660790681839,471158.4375,0.1580689698457718,173580.875
5,149,112861.5703125,,,,,,
6,174,,,293485.03125,0.23576943576335907,505811.46875,0.1678902953863144,188435.0625
6,174,109987.84375,,,,,,
7,199,,108701.2421875,,,,,
7,199,,,280706.90625,0.21497035026550293,479166.84375,0.16085949540138245,180076.1875
7,199,107732.0703125,,,,,,
8,224,,,311576.15625,0.23807218670845032,497881.96875,0.2004907876253128,191789.3125
8,224,110320.4296875,,,,,,
9,249,,103291.78125,,,,,
9,249,,,304783.9375,0.24400852620601654,524221.6875,0.17196190357208252,190318.765625
9,249,110235.453125,,,,,,
10,274,,,281104.84375,0.22007045149803162,462716.46875,0.1634276956319809,179069.125
10,274,108460.3671875,,,,,,
11,299,,103266.625,,,,,
11,299,,,259072.5,0.19391578435897827,442867.84375,0.14823302626609802,162972.0
11,299,104144.21875,,,,,,
12,324,,,262344.125,0.20118699967861176,448601.6875,0.15154674649238586,167303.484375
12,324,101902.453125,,,,,,
13,349,,98196.0,,,,,
13,349,,,257633.90625,0.1970748007297516,435394.3125,0.14965637028217316,163742.671875
13,349,101446.4375,,,,,,
14,374,,,264382.78125,0.20079515874385834,453719.8125,0.15154914557933807,168941.375
14,374,102062.2890625,,,,,,
15,399,,94308.9609375,,,,,
15,399,,,260757.09375,0.20550104975700378,467944.0,0.15005919337272644,170957.390625
15,399,99173.3984375,,,,,,
16,424,,,275447.875,0.21138142049312592,466698.4375,0.1556929051876068,174607.484375
16,424,103710.140625,,,,,,
17,449,,95612.6640625,,,,,
17,449,,,261649.5,0.20179586112499237,456872.5,0.15012671053409576,170226.578125
17,449,98127.7421875,,,,,,
18,474,,,274937.34375,0.20398469269275665,456904.875,0.1562533974647522,171477.515625
18,474,97515.1875,,,,,,
19,499,,93820.1640625,,,,,
19,499,,,269904.3125,0.20785453915596008,478214.75,0.15369360148906708,170682.8125
19,499,98456.640625,,,,,,
20,524,,,266126.5,0.2026425451040268,456699.8125,0.15126913785934448,166831.078125
20,524,95822.28125,,,,,,
21,549,,99385.2421875,,,,,
21,549,,,274473.0,0.20585469901561737,477536.75,0.15291456878185272,173927.25
21,549,95908.2578125,,,,,,
22,574,,,256666.0625,0.19372707605361938,441291.40625,0.15207795798778534,163357.4375
22,574,96417.53125,,,,,,
23,599,,91429.6875,,,,,
23,599,,,244700.0625,0.1845339834690094,413293.28125,0.14313478767871857,154577.15625
23,599,97023.3203125,,,,,,
24,624,,,268466.59375,0.19730886816978455,456712.375,0.15017923712730408,167881.1875
24,624,96816.09375,,,,,,
25,649,,104407.25,,,,,
25,649,,,262312.21875,0.202976256608963,449320.375,0.15128184854984283,168029.546875
25,649,94048.703125,,,,,,
26,674,,,261570.375,0.20168980956077576,448670.21875,0.15038083493709564,161303.421875
26,674,92837.1875,,,,,,
27,699,,98164.6328125,,,,,
27,699,,,246767.21875,0.18942338228225708,438776.59375,0.14264720678329468,156348.71875
27,699,90764.0703125,,,,,,
28,724,,,246200.03125,0.18651878833770752,420321.90625,0.1425754278898239,153560.84375
28,724,92257.03125,,,,,,
29,749,,96351.6015625,,,,,
29,749,,,245171.21875,0.19578829407691956,405023.4375,0.15007279813289642,149631.984375
29,749,91181.421875,,,,,,
