store_id,date,year,month,sales_lag_1,sales_lag_2,sales_lag_3,sales_lag_6,sales_lag_12,sales_roll_mean_3,sales_roll_mean_6,sales_mom_pct,sales_lag1_vs_roll6,price_realistic,promo_flag,num_transactions,num_unique_products,num_categories,month_sin,month_cos,is_holiday_season,is_launch_season,gdp_per_capita,inflation_rate,exchange_rate,internet_usage_pct,gdp_change,inflation_change,exchange_change,internet_usage_change,store_encoded,sales_amount_realistic
ST-1,2026-01-01,2026,1,2527665.062484325,2223369.6770093734,1791503.797661718,1221824.6805881956,1187178.5820586046,2180846.1790518053,1780406.8192491576,0.1368622540018875,1.4197120765636615,1054.072197907938,0.24497991967871485,249,42,9,0.49999999999999994,0.8660254037844387,0,0,85809.90038,2.949525205,1.0,91.74250969595782,0.0,0.0,0.0,0.0,0,1724976.395497234
ST-10,2026-01-01,2026,1,2032271.198085327,2421489.015955489,1578183.703172355,1478744.4396350132,1033893.6519277195,2010647.9724043903,1800579.8280575287,-0.160734909514583,1.1286759778252917,1064.7842559806911,0.23113207547169812,212,42,8,0.49999999999999994,0.8660254037844387,0,0,85809.90038,2.949525205,1.0,91.74250969595782,0.0,0.0,0.0,0.0,1,1443853.244106455
ST-11,2026-01-01,2026,1,3674524.326692778,2613093.4058694374,2251609.367921345,1722744.4390415098,2060556.6443884403,2846409.0334945205,2570590.6433070474,0.4061970836707147,1.4294474836979596,908.773402248641,0.291497975708502,247,42,7,0.49999999999999994,0.8660254037844387,0,0,85809.90038,2.949525205,1.0,91.74250969595782,0.0,0.0,0.0,0.0,2,2771583.4949488984
ST-12,2026-01-01,2026,1,2896643.934490945,2476818.1631403826,1984986.4939055552,1548063.4803222874,1343515.137008075,2452816.1971789612,2161101.3952450673,0.16950205614539796,1.3403554043619819,1010.5246296561195,0.2744360902255639,266,48,8,0.49999999999999994,0.8660254037844387,0,0,85809.90038,2.949525205,1.0,91.74250969595782,0.0,0.0,0.0,0.0,3,2001341.4354436756
ST-13,2026-01-01,2026,1,2848331.7711830763,2305921.1313723475,2392362.365914194,1782028.384081006,1460720.7637381193,2515538.422823206,2254562.878438728,0.23522514817665,1.263363199324709,1042.2419483414474,0.3191489361702128,235,48,9,0.49999999999999994,0.8660254037844387,0,0,85809.90038,2.949525205,1.0,91.74250969595782,0.0,0.0,0.0,0.0,4,2154087.020347288
ST-14,2026-01-01,2026,1,2008763.7369698933,2145557.5407420127,1839097.8980431037,1400246.077517332,1167585.5885591365,1997806.3919183363,1805057.1652044968,-0.06375676306719372,1.1128532523468964,1038.728956695165,0.2553191489361702,235,47,7,0.49999999999999994,0.8660254037844387,0,0,85809.90038,2.949525205,1.0,91.74250969595782,0.0,0.0,0.0,0.0,5,1575820.8745726987
ST-15,2026-01-01,2026,1,2655979.685267563,2372017.6085514775,1995405.0293397976,1568629.5678330357,1652995.889338513,2341134.107719613,2110251.111013051,0.11971330891151893,1.2586083577477793,986.04429752588,0.25523012552301255,239,54,9,0.49999999999999994,0.8660254037844387,0,0,85809.90038,2.949525205,1.0,91.74250969595782,0.0,0.0,0.0,0.0,6,2336277.2612848943
ST-16,2026-01-01,2026,1,2770887.4000064973,2896436.715464037,2246815.000531023,1858335.5731154145,1628500.8690606784,2638046.372000519,2302435.1153359734,-0.04334612760128109,1.2034594944935797,965.117199274714,0.26244343891402716,221,49,7,0.49999999999999994,0.8660254037844387,0,0,52636.78659,3.271572946,0.782414581,95.90075112651648,0.0,0.0,0.0,0.0,7,2121992.004205652
ST-17,2026-01-01,2026,1,2241393.507273665,2207223.9581657667,2183657.1349294223,1350685.8578108444,1188813.6291654662,2210758.200122951,1923103.7118224446,0.015480780272199408,1.165508388078348,1077.5251438015239,0.2081447963800905,221,43,8,0.49999999999999994,0.8660254037844387,0,0,52636.78659,3.271572946,0.782414581,95.90075112651648,0.0,0.0,0.0,0.0,8,1654971.86752464
ST-18,2026-01-01,2026,1,2058469.7729199291,1981497.2021437925,1799266.1962165146,1382933.8308008956,1330774.7816217223,1946411.0570934124,1627569.1885947755,0.038845662104826366,1.264751008648172,1023.2046813210532,0.25877192982456143,228,48,9,0.49999999999999994,0.8660254037844387,0,0,46150.48769,1.999049423,0.923889546,88.6538,0.0,0.0,0.0,0.0,9,1904469.578793607
ST-19,2026-01-01,2026,1,2665240.8646204146,2946858.9127218234,2322517.8342245715,1540499.905731013,1692330.4804220565,2644872.5371889365,2274096.1079740543,-0.09556550090865953,1.1720000994130468,1010.8700857810675,0.22844827586206898,232,44,7,0.49999999999999994,0.8660254037844387,0,0,46150.48769,1.999049423,0.923889546,88.6538,0.0,0.0,0.0,0.0,10,1911124.1852474804
ST-2,2026-01-01,2026,1,2563141.8000897416,2389911.0022720164,2454916.1102285786,1496690.4426041534,1334167.3522858701,2469322.970863445,2071655.8935593793,0.07248420449675319,1.2372430228680134,1012.0054537152099,0.28225806451612906,248,46,8,0.49999999999999994,0.8660254037844387,0,0,85809.90038,2.949525205,1.0,91.74250969595782,0.0,0.0,0.0,0.0,11,1955690.3361536933
ST-20,2026-01-01,2026,1,2469960.123141653,2249920.8842813578,1977435.92342818,1502673.5606954615,1397599.6348293237,2232438.976950397,2023522.9108457603,0.0977986561205584,1.2206237497500327,1017.2712955716056,0.26609442060085836,233,47,7,0.49999999999999994,0.8660254037844387,0,0,56833.19605,2.937915743,0.923889546,94.9197,0.0,0.0,0.0,0.0,12,1930768.5549834666
ST-21,2026-01-01,2026,1,2948139.1811309196,3576388.9930761545,2523776.0571265263,2039365.0442856501,2066539.6513191378,3016101.4104445335,2639067.3176341513,-0.17566596171767637,1.1171140506464392,966.3857042238183,0.21610169491525424,236,44,8,0.49999999999999994,0.8660254037844387,0,0,35297.0095,2.774178265,0.923889546,95.7575,0.0,0.0,0.0,0.0,13,1992253.2407894556
ST-22,2026-01-01,2026,1,2407667.188086628,2050775.7780098477,2370867.0869379574,1417341.6113070375,1222018.3009253417,2276436.684344811,1892279.9684249826,0.17402751383338527,1.2723630901671605,1081.7734926084559,0.25327510917030566,229,46,8,0.49999999999999994,0.8660254037844387,0,0,40226.04724,0.982373023,0.923889546,89.2207,0.0,0.0,0.0,0.0,14,1794789.5919973052
ST-23,2026-01-01,2026,1,2216056.240508355,1923309.4776649328,1729381.9031279143,1380503.428263402,1189199.671119495,1956249.2071004007,1754788.9425018237,0.15220991017984414,1.262861981195811,970.5254904381009,0.2683982683982684,231,49,7,0.49999999999999994,0.8660254037844387,0,0,40226.04724,0.982373023,0.923889546,89.2207,0.0,0.0,0.0,0.0,15,1769031.6327945907
ST-24,2026-01-01,2026,1,2785622.5092906267,2620046.9661322455,2426662.710138097,1668137.4913197008,1504368.71266618,2610777.39518699,2190040.8529866408,0.06319563935252903,1.2719500211568058,976.2484023191589,0.2350597609561753,251,47,8,0.49999999999999994,0.8660254037844387,0,0,55800.21945,2.256498143,0.923889546,93.5,0.0,0.0,0.0,0.0,16,2132528.8162989747
ST-25,2026-01-01,2026,1,2886330.005694984,2185094.2502304194,2224433.671990359,1865526.6530451074,1472815.563970747,2431952.642638588,2106550.9873978985,0.3209178530356843,1.3701685945234594,1029.7317126608386,0.25609756097560976,246,49,7,0.49999999999999994,0.8660254037844387,0,0,55800.21945,2.256498143,0.923889546,93.5,0.0,0.0,0.0,0.0,17,2235114.9293480497
ST-26,2026-01-01,2026,1,2146745.096432693,1745812.5969864072,1537798.0337385007,995422.0747625914,1210735.9414577368,1810118.5757192,1580108.167696201,0.22965380140936587,1.358606417156016,1009.4150679044043,0.277992277992278,259,51,8,0.49999999999999994,0.8660254037844387,0,0,68218.7261,3.347543042,0.923889546,93.21653589452544,0.0,0.0,0.0,0.0,18,1911458.4042052708
ST-27,2026-01-01,2026,1,2681941.0258293403,2262483.8814512724,2085840.7895865696,1479628.3262966555,1571555.8875694908,2343421.8989557275,1999451.7432123274,0.18539674373680257,1.3413382118042634,1060.564933872553,0.252212389380531,226,41,7,0.49999999999999994,0.8660254037844387,0,0,55800.21945,2.256498143,0.923889546,93.5,0.0,0.0,0.0,0.0,19,2313050.8520498388
ST-28,2026-01-01,2026,1,2185396.226212555,2098398.794377847,1991129.566229031,1264508.5901489155,1298381.4263835947,2091641.5289398108,1754115.1683634175,0.04145896007365072,1.2458681537150842,1123.839827768633,0.21304347826086956,230,49,7,0.49999999999999994,0.8660254037844387,0,0,52636.78659,3.271572946,0.782414581,95.90075112651648,0.0,0.0,0.0,0.0,20,1904861.3198328395
ST-29,2026-01-01,2026,1,2033867.006118411,1690101.7604332797,1858617.978536184,1158292.2911642892,1285664.8297654218,1860862.248362625,1638092.0636666752,0.2033991406511538,1.2416072644695197,1010.4731840854874,0.20416666666666666,240,47,8,0.49999999999999994,0.8660254037844387,0,0,46150.48769,1.999049423,0.923889546,88.6538,0.0,0.0,0.0,0.0,21,1829121.90242644
ST-3,2026-01-01,2026,1,2833283.060919799,2117353.147599774,2171202.2788710166,1583911.8611684337,1563382.743631993,2373946.1624635295,2113540.5885543176,0.3381249434614161,1.3405387510716282,1024.3817012046302,0.2163265306122449,245,49,7,0.49999999999999994,0.8660254037844387,0,0,85809.90038,2.949525205,1.0,91.74250969595782,0.0,0.0,0.0,0.0,22,2538479.141725202
ST-30,2026-01-01,2026,1,2034040.324472223,2017131.782703229,1606734.0982506224,1062685.5509897468,946035.6482748002,1885968.735142025,1595979.211343227,0.00838246757796569,1.2744779568653088,982.345070820703,0.18907563025210083,238,46,9,0.49999999999999994,0.8660254037844387,0,0,49377.56434,1.663365102,3.6725,100.0,0.0,0.0,0.0,0.0,23,1482770.7019488357
